"feed_type_A_char","species","mean_dist_water","sd_dist_water","max_dist_water","Mean_from_max"
"browser","G",2221.80622377622,2413.54591910158,13549.07,11327.2637762238
"browser","K",2959.49059090909,3256.60319953324,13546.64,10587.1494090909
"grazer","B",461.488139534884,483.685017460231,2415.65,1954.16186046512
"grazer","Wb",757.145660377358,707.812928902256,4704.01,3946.86433962264
"grazer","Z",1779.83100591716,1859.81061488883,9761.92,7982.08899408284
"mixed","E",1342.85817813765,1522.61841525148,9725.87,8383.01182186235
"mixed","I",1452.03225021349,2269.67245761894,13768.22,12316.1877497865
"omni","CD",6339.95392857143,3775.55194189944,13226.96,6887.00607142857
"omni","Wh",3354.74322834646,3586.99526978923,13974.68,10619.9367716535
